Ano,Mês,Posição,Música,Artista,Gênero
1990,Agosto,1,Evidências,Chitãozinho & Xororó,Sertanejo
1991,Maio,1,É o Amor,Zezé Di Camargo & Luciano,Sertanejo
1993,Setembro,1,Malandragem,Cássia Eller,Rock / MPB
1994,Outubro,1,Garota Nacional,Skank,Pop Rock
1995,Dezembro,1,Pelados em Santos,Mamonas Assassinas,Rock Cômico
1996,Julho,1,A Estrada,Cidade Negra,Reggae / Pop
1997,Março,1,Proibida pra Mim (Grazon),Charlie Brown Jr.,Skate Punk / Rock
1998,Outubro,1,Sozinho,Caetano Veloso,MPB
1999,Novembro,1,Anna Julia,Los Hermanos,Rock Alternativo
1999,Dezembro,1,Xibom Bombom,As Meninas,Axé
1999,Junho,1,Mulher de Fases,Raimundos,Forrocore / Rock
2024,Janeiro,1,DEJA VU,"Luan Santana, Ana Castela",Sertanejo
2024,Janeiro,2,Macetando,"Ivete Sangalo, LUDMILLA",Axé / Funk
2024,Janeiro,3,Toca o Trompete,Felipe Amorim,Brega Funk
2024,Janeiro,4,Let's Go 4,"MC PH, MC IG, MC Ryan SP, MC Kevin...",Funk
2024,Janeiro,5,Fronteira,"Ana Castela, Gustavo Mioto",Sertanejo
2024,Janeiro,6,POC POC,Pedro Sampaio,Funk
2024,Janeiro,7,Tenho Que Me Decidir,"MC PH, Borges, WIU, Pedro Lotto...",Trap
2024,Janeiro,8,Meio Termo,Luan Santana,Sertanejo
2024,Janeiro,9,Daqui pra Sempre,"Manu, Simone Mendes",Sertanejo
2024,Janeiro,10,Lapada Dela,"Grupo Menos é Mais, Matheus Fernandes",Pagode / Piseiro
2024,Fevereiro,1,Macetando,"Ivete Sangalo, LUDMILLA",Axé / Funk
2024,Fevereiro,2,DEJA VU,"Luan Santana, Ana Castela",Sertanejo
2024,Fevereiro,3,Perna Bamba,"Léo Santana, Parangolé",Axé / Pagodão
2024,Fevereiro,4,Toca o Trompete,Felipe Amorim,Brega Funk
2024,Fevereiro,5,POC POC,Pedro Sampaio,Funk
2024,Fevereiro,6,Fronteira,"Ana Castela, Gustavo Mioto",Sertanejo
2024,Fevereiro,7,Joga pra Lua,"Anitta, DENNIS, Pedro Sampaio",Funk Pop
2024,Fevereiro,8,Let's Go 4,"MC PH, MC IG, MC Ryan SP, MC Kevin...",Funk
2024,Fevereiro,9,Daqui pra Sempre,"Manu, Simone Mendes",Sertanejo
2024,Fevereiro,10,Meio Termo,Luan Santana,Sertanejo
2024,Março,1,Macetando,"Ivete Sangalo, LUDMILLA",Axé / Funk
2024,Março,2,DEJA VU,"Luan Santana, Ana Castela",Sertanejo
2024,Março,3,Perna Bamba,"Léo Santana, Parangolé",Axé / Pagodão
2024,Março,4,Toca o Trompete,Felipe Amorim,Brega Funk
2024,Março,5,POC POC,Pedro Sampaio,Funk
2024,Março,6,Fronteira,"Ana Castela, Gustavo Mioto",Sertanejo
2024,Março,7,Daqui pra Sempre,"Manu, Simone Mendes",Sertanejo
2024,Março,8,Meio Termo,Luan Santana,Sertanejo
2024,Março,9,Dois Tristes,Simone Mendes,Sertanejo
2024,Março,10,Let's Go 4,"MC PH, MC IG, MC Ryan SP, MC Kevin...",Funk
2024,Abril,1,MTG Quem Não Quer Sou Eu,"DJ Topo, Seu Jorge, MC Leozin...",Funk (MTG)
2024,Abril,2,Macetando,"Ivete Sangalo, LUDMILLA",Axé / Funk
2024,Abril,3,DEJA VU,"Luan Santana, Ana Castela",Sertanejo
2024,Abril,4,Perna Bamba,"Léo Santana, Parangolé",Axé / Pagodão
2024,Abril,5,Gosta de Rua,Felipe e Rodrigo,Sertanejo
2024,Abril,6,Lua,"Ana Castela, Alok, Hungria Hip Hop",Sertanejo / Pop
2024,Abril,7,Toca o Trompete,Felipe Amorim,Brega Funk
2024,Abril,8,Aquariano Nato,"MC Saci, Mc Pretchako, DJ Sammer",Funk
2024,Abril,9,Dois Tristes,Simone Mendes,Sertanejo
2024,Abril,10,Fronteira,"Ana Castela, Gustavo Mioto",Sertanejo
2024,Maio,1,MTG Quem Não Quer Sou Eu,"DJ Topo, Seu Jorge, MC Leozin...",Funk (MTG)
2024,Maio,2,Gosta de Rua,Felipe e Rodrigo,Sertanejo
2024,Maio,3,Aquariano Nato,"MC Saci, Mc Pretchako, DJ Sammer",Funk
2024,Maio,4,Entra na Defender,"Luan Pereira, MC Daniel, MC Ryan SP",Sertanejo / Funk
2024,Maio,5,Havelange,"MC Joãozinho VT, MC IG, DJ TIO...",Funk
2024,Maio,6,Ram Tchum,"DENNIS, Ana Castela, MC GW",Eletrônico / Funk
2024,Maio,7,MTG Forró e Desmantelo,"th da serra, hg da serra, Dj Jr...",Funk (MTG) / Forró
2024,Maio,8,Macetando,"Ivete Sangalo, LUDMILLA",Axé / Funk
2024,Maio,9,DEJA VU,"Luan Santana, Ana Castela",Sertanejo
2024,Maio,10,Dois Tristes,Simone Mendes,Sertanejo
2024,Junho,1,Gosta de Rua,Felipe e Rodrigo,Sertanejo
2024,Junho,2,MTG Quem Não Quer Sou Eu,"DJ Topo, Seu Jorge, MC Leozin...",Funk (MTG)
2024,Junho,3,Entra na Defender,"Luan Pereira, MC Daniel, MC Ryan SP",Sertanejo / Funk
2024,Junho,4,Aquariano Nato,"MC Saci, Mc Pretchako, DJ Sammer",Funk
2024,Junho,5,MTG Forró e Desmantelo,"th da serra, hg da serra, Dj Jr...",Funk (MTG) / Forró
2024,Junho,6,Um Mês e Pouco,Zé Neto & Cristiano,Sertanejo
2024,Junho,7,Casca de Bala,Thullio Milionário,Piseiro
2024,Junho,8,Bem Longe de Casa,LUDMILLA,Pagode
2024,Junho,9,Havelange,"MC Joãozinho VT, MC IG, DJ TIO...",Funk
2024,Junho,10,Ram Tchum,"DENNIS, Ana Castela, MC GW",Eletrônico / Funk
2024,Julho,1,Gosta de Rua,Felipe e Rodrigo,Sertanejo
2024,Julho,2,MTG - Louca de Bala,"DJ Samurai, Mc Rodrigo do CN...",Funk (MTG)
2024,Julho,3,Entra na Defender,"Luan Pereira, MC Daniel, MC Ryan SP",Sertanejo / Funk
2024,Julho,4,Um Mês e Pouco,Zé Neto & Cristiano,Sertanejo
2024,Julho,5,MTG Quem Não Quer Sou Eu,"DJ Topo, Seu Jorge, MC Leozin...",Funk (MTG)
2024,Julho,6,Casca de Bala,Thullio Milionário,Piseiro
2024,Julho,7,Aquariano Nato,"MC Saci, Mc Pretchako, DJ Sammer",Funk
2024,Julho,8,MTG Forró e Desmantelo,"th da serra, hg da serra, Dj Jr...",Funk (MTG) / Forró
2024,Julho,9,Coração Bipolar,Mari Fernandez,Piseiro / Sertanejo
2024,Julho,10,Bem Longe de Casa,LUDMILLA,Pagode
2024,Agosto,1,Gosta de Rua,Felipe e Rodrigo,Sertanejo
2024,Agosto,2,MTG - Louca de Bala,"DJ Samurai, Mc Rodrigo do CN...",Funk (MTG)
2024,Agosto,3,Entra na Defender,"Luan Pereira, MC Daniel, MC Ryan SP",Sertanejo / Funk
2024,Agosto,4,Um Mês e Pouco,Zé Neto & Cristiano,Sertanejo
2024,Agosto,5,ROLÉ NA CITY,"Luan Pereira, MC Ryan SP",Sertanejo / Funk
2024,Agosto,6,Casca de Bala,Thullio Milionário,Piseiro
2024,Agosto,7,Você Não Vale Nada,"Japãozin, MC G15",Piseiro / Brega Funk
2024,Agosto,8,Anestesiado,Murilo Huff,Sertanejo
2024,Agosto,9,MTG Forró e Desmantelo,"th da serra, hg da serra, Dj Jr...",Funk (MTG) / Forró
2024,Agosto,10,Aquariano Nato,"MC Saci, Mc Pretchako, DJ Sammer",Funk
2024,Setembro,1,Gosta de Rua,Felipe e Rodrigo,Sertanejo
2024,Setembro,2,Anestesiado,Murilo Huff,Sertanejo
2024,Setembro,3,MTG - Louca de Bala,"DJ Samurai, Mc Rodrigo do CN...",Funk (MTG)
2024,Setembro,4,ROLÉ NA CITY,"Luan Pereira, MC Ryan SP",Sertanejo / Funk
2024,Setembro,5,Um Mês e Pouco,Zé Neto & Cristiano,Sertanejo
2024,Setembro,6,Você Não Vale Nada,"Japãozin, MC G15",Piseiro / Brega Funk
2024,Setembro,7,Coração de Vaqueiro,João Gomes,Piseiro
2024,Setembro,8,Casca de Bala,Thullio Milionário,Piseiro
2024,Setembro,9,Entra na Defender,"Luan Pereira, MC Daniel, MC Ryan SP",Sertanejo / Funk
2024,Setembro,10,Tenho Medo,Zé Vaqueiro,Piseiro
2024,Outubro,1,Anestesiado,Murilo Huff,Sertanejo
2024,Outubro,2,Gosta de Rua,Felipe e Rodrigo,Sertanejo
2024,Outubro,3,ROLÉ NA CITY,"Luan Pereira, MC Ryan SP",Sertanejo / Funk
2024,Outubro,4,"Beijo, Fama e Piseiro",Nattan,Piseiro
2024,Outubro,5,OFFLINE,"Luan Santana, Simone Mendes",Sertanejo
2024,Outubro,6,Você Não Vale Nada,"Japãozin, MC G15",Piseiro / Brega Funk
2024,Outubro,7,MTG - QUANDO A NOITE CAI,"DJ Topo, MC Leozin, MC Gs da Norte...",Funk (MTG)
2024,Outubro,8,Coração de Vaqueiro,João Gomes,Piseiro
2024,Outubro,9,Um Mês e Pouco,Zé Neto & Cristiano,Sertanejo
2024,Outubro,10,MTG - Louca de Bala,"DJ Samurai, Mc Rodrigo do CN...",Funk (MTG)
2024,Novembro,1,OFFLINE,"Luan Santana, Simone Mendes",Sertanejo
2024,Novembro,2,Anestesiado,Murilo Huff,Sertanejo
2024,Novembro,3,"Beijo, Fama e Piseiro",Nattan,Piseiro
2024,Novembro,4,Gosta de Rua,Felipe e Rodrigo,Sertanejo
2024,Novembro,5,ROLÉ NA CITY,"Luan Pereira, MC Ryan SP",Sertanejo / Funk
2024,Novembro,6,MTG - QUANDO A NOITE CAI,"DJ Topo, MC Leozin, MC Gs da Norte...",Funk (MTG)
2024,Novembro,7,CAVALINHO,"LUDMILLA, MC Binn Laden, Apresentadores",Funk
2024,Novembro,8,Você Não Vale Nada,"Japãozin, MC G15",Piseiro / Brega Funk
2024,Novembro,9,Coração de Vaqueiro,João Gomes,Piseiro
2024,Novembro,10,Ela Pirou na Dodge Ram,"Luan Pereira, MC Ryan SP",Sertanejo / Funk
2024,Dezembro,1,OFFLINE,"Luan Santana, Simone Mendes",Sertanejo
2024,Dezembro,2,CAVALINHO,"LUDMILLA, MC Binn Laden, Apresentadores",Funk
2024,Dezembro,3,Ela Pirou na Dodge Ram,"Luan Pereira, MC Ryan SP",Sertanejo / Funk
2024,Dezembro,4,"Beijo, Fama e Piseiro",Nattan,Piseiro
2024,Dezembro,5,Anestesiado,Murilo Huff,Sertanejo
2024,Dezembro,6,Viciou,"Mari Fernandez, Nattan",Piseiro / Sertanejo
2024,Dezembro,7,MTG - QUANDO A NOITE CAI,"DJ Topo, MC Leozin, MC Gs da Norte...",Funk (MTG)
2024,Dezembro,8,ROLÉ NA CITY,"Luan Pereira, MC Ryan SP",Sertanejo / Funk
2024,Dezembro,9,Joga pro Coroa,"MC Pipokinha, DJ Tonias",Funk
2024,Dezembro,10,Gosta de Rua,Felipe e Rodrigo,Sertanejo
2023,Janeiro,1,Leão,Marília Mendonça,Sertanejo
2023,Janeiro,2,Bombonzinho,"Israel & Rodolffo, Ana Castela",Sertanejo
2023,Janeiro,3,Coração de Gelo,WIU,Trap
2023,Janeiro,4,Roça em Mim,"Zé Felipe, Ana Castela, Luan Pereira",Sertanejo / Pop
2023,Janeiro,5,Puta Mexicana,"MC Pelé, DJ Arana, Love Funk",Funk
2023,Janeiro,6,Eu Gosto Assim,"Gustavo Mioto, Mari Fernandez",Sertanejo
2023,Janeiro,7,Haja Colírio,"Guilherme & Benuto, Hugo & Guilherme",Sertanejo
2023,Janeiro,8,Novo Balanço,Veigh,Trap
2023,Janeiro,9,Palhaça,"Naiara Azevedo, Ana Castela",Sertanejo
2023,Janeiro,10,A Culpa é Nossa,Maiara & Maraisa,Sertanejo
2023,Fevereiro,1,Zona de Perigo,Léo Santana,Axé / Pagodão
2023,Fevereiro,2,Leão,Marília Mendonça,Sertanejo
2023,Fevereiro,3,Bombonzinho,"Israel & Rodolffo, Ana Castela",Sertanejo
2023,Fevereiro,4,Haja Colírio,"Guilherme & Benuto, Hugo & Guilherme",Sertanejo
2023,Fevereiro,5,Roça em Mim,"Zé Felipe, Ana Castela, Luan Pereira",Sertanejo / Pop
2023,Fevereiro,6,Lovezinho,Treyce,Pop / Arrocha
2023,Fevereiro,7,Coração Cigano,"Luan Santana, Luísa Sonza",Pop / Sertanejo
2023,Fevereiro,8,A Culpa é Nossa,Maiara & Maraisa,Sertanejo
2023,Fevereiro,9,Erro Gostoso,Simone Mendes,Sertanejo
2023,Fevereiro,10,Novo Balanço,Veigh,Trap
2023,Março,1,Erro Gostoso,Simone Mendes,Sertanejo
2023,Março,2,Leão,Marília Mendonça,Sertanejo
2023,Março,3,Zona de Perigo,Léo Santana,Axé / Pagodão
2023,Março,4,Bombonzinho,"Israel & Rodolffo, Ana Castela",Sertanejo
2023,Março,5,Lovezinho,Treyce,Pop / Arrocha
2023,Março,6,Traumatizei,Henrique & Juliano,Sertanejo
2023,Março,7,A Culpa é Nossa,Maiara & Maraisa,Sertanejo
2023,Março,8,Haja Colírio,"Guilherme & Benuto, Hugo & Guilherme",Sertanejo
2023,Março,9,Namorando ou Não,"Clayton & Romário, Luan Santana",Sertanejo
2023,Março,10,Ballena,"Vulgo FK, MC PH, Veigh",Trap
2023,Abril,1,Erro Gostoso,Simone Mendes,Sertanejo
2023,Abril,2,Nosso Quadro,"Agroplay, Ana Castela",Sertanejo
2023,Abril,3,Leão,Marília Mendonça,Sertanejo
2023,Abril,4,Traumatizei,Henrique & Juliano,Sertanejo
2023,Abril,5,Coração de Gelo,WIU,Trap
2023,Abril,6,Duas,"Dilsinho, LUDMILLA, Mc Chris",Pagode / Funk
2023,Abril,7,Namorando ou Não,"Clayton & Romário, Luan Santana",Sertanejo
2023,Abril,8,Faz um Vuk Vuk (Teto Espelhado),"MC Kevin o Chris, DJ Nk da Serra",Funk
2023,Abril,9,Ballena,"Vulgo FK, MC PH, Veigh",Trap
2023,Abril,10,Lovezinho,Treyce,Pop / Arrocha
2023,Maio,1,Nosso Quadro,"Agroplay, Ana Castela",Sertanejo
2023,Maio,2,Erro Gostoso,Simone Mendes,Sertanejo
2023,Maio,3,Traumatizei,Henrique & Juliano,Sertanejo
2023,Maio,4,Tá OK,"DENNIS, MC Kevin o Chris",Funk
2023,Maio,5,Leão,Marília Mendonça,Sertanejo
2023,Maio,6,Faz um Vuk Vuk (Teto Espelhado),"MC Kevin o Chris, DJ Nk da Serra",Funk
2023,Maio,7,Conexões de Máfia,"Matuê, Rich the Kid",Trap
2023,Maio,8,Solteiro Forçado,Ana Castela,Sertanejo
2023,Maio,9,Insônia,"LUDMILLA, Marília Mendonça",Pagode / Sertanejo
2023,Maio,10,Duas,"Dilsinho, LUDMILLA, Mc Chris",Pagode / Funk
2023,Junho,1,Tá OK,"DENNIS, MC Kevin o Chris",Funk
2023,Junho,2,Nosso Quadro,"Agroplay, Ana Castela",Sertanejo
2023,Junho,3,Solteiro Forçado,Ana Castela,Sertanejo
2023,Junho,4,Erro Gostoso,Simone Mendes,Sertanejo
2023,Junho,5,Conexões de Máfia,"Matuê, Rich the Kid",Trap
2023,Junho,6,Traumatizei,Henrique & Juliano,Sertanejo
2023,Junho,7,Onde Eu Cheguei,MC Cabelinho,Trap
2023,Junho,8,Coração de Gelo,WIU,Trap
2023,Junho,9,Leão,Marília Mendonça,Sertanejo
2023,Junho,10,Insônia,"LUDMILLA, Marília Mendonça",Pagode / Sertanejo
2023,Julho,1,Tá OK,"DENNIS, MC Kevin o Chris",Funk
2023,Julho,2,Novidade na Área,"MC Livinho, DJ Matt D",Funk
2023,Julho,3,Solteiro Forçado,Ana Castela,Sertanejo
2023,Julho,4,Nosso Quadro,"Agroplay, Ana Castela",Sertanejo
2023,Julho,5,Conexões de Máfia,"Matuê, Rich the Kid",Trap
2023,Julho,6,E Aí,"Luan Pereira, MC Daniel",Sertanejo / Funk
2023,Julho,7,Chico,Luísa Sonza,Bossa Nova / Pop
2023,Julho,8,Coração de Gelo,WIU,Trap
2023,Julho,9,Erro Gostoso,Simone Mendes,Sertanejo
2023,Julho,10,Traumatizei,Henrique & Juliano,Sertanejo
2023,Agosto,1,Tá OK,"DENNIS, MC Kevin o Chris",Funk
2023,Agosto,2,Chico,Luísa Sonza,Bossa Nova / Pop
2023,Agosto,3,Penhasco2,"Luísa Sonza, Demi Lovato",Pop
2023,Agosto,4,Solteiro Forçado,Ana Castela,Sertanejo
2023,Agosto,5,Novidade na Área,"MC Livinho, DJ Matt D",Funk
2023,Agosto,6,Dentro da Hilux,"Luan Pereira, MC Daniel, MC Ryan SP",Sertanejo / Funk
2023,Agosto,7,Nosso Quadro,"Agroplay, Ana Castela",Sertanejo
2023,Agosto,8,Canudinho,"Gusttavo Lima, Ana Castela",Sertanejo
2023,Agosto,9,Lua,"Ana Castela, Alok, Hungria Hip Hop",Sertanejo / Pop
2023,Agosto,10,Namora Aí,"MC Ryan SP, MC Daniel",Funk
2023,Setembro,1,Dentro da Hilux,"Luan Pereira, MC Daniel, MC Ryan SP",Sertanejo / Funk
2023,Setembro,2,Canudinho,"Gusttavo Lima, Ana Castela",Sertanejo
2023,Setembro,3,Chico,Luísa Sonza,Bossa Nova / Pop
2023,Setembro,4,Tá OK,"DENNIS, MC Kevin o Chris",Funk
2023,Setembro,5,Solteiro Forçado,Ana Castela,Sertanejo
2023,Setembro,6,Nosso Quadro,"Agroplay, Ana Castela",Sertanejo
2023,Setembro,7,Penhasco2,"Luísa Sonza, Demi Lovato",Pop
2023,Setembro,8,Let's Go 4,"MC PH, MC IG, MC Ryan SP, MC Kevin...",Funk
2023,Setembro,9,Coração de Gelo,WIU,Trap
2023,Setembro,10,Me Lambe,Jão,Pop
2023,Outubro,1,Let's Go 4,"MC PH, MC IG, MC Ryan SP, MC Kevin...",Funk
2023,Outubro,2,Dentro da Hilux,"Luan Pereira, MC Daniel, MC Ryan SP",Sertanejo / Funk
2023,Outubro,3,Canudinho,"Gusttavo Lima, Ana Castela",Sertanejo
2023,Outubro,4,DEJA VU,"Luan Santana, Ana Castela",Sertanejo
2023,Outubro,5,Fazendinha Sessions #5: Pra Sempre,"Fazendinha Sessions, Ana Castela...",Sertanejo
2023,Outubro,6,Tá OK,"DENNIS, MC Kevin o Chris",Funk
2023,Outubro,7,Luar,"MC Paiva, MC Ryan SP, Love Funk",Funk
2023,Outubro,8,Coração de Gelo,WIU,Trap
2023,Outubro,9,Nosso Quadro,"Agroplay, Ana Castela",Sertanejo
2023,Outubro,10,Solteiro Forçado,Ana Castela,Sertanejo
2023,Novembro,1,Let's Go 4,"MC PH, MC IG, MC Ryan SP, MC Kevin...",Funk
2023,Novembro,2,DEJA VU,"Luan Santana, Ana Castela",Sertanejo
2023,Novembro,3,Canudinho,"Gusttavo Lima, Ana Castela",Sertanejo
2023,Novembro,4,Dentro da Hilux,"Luan Pereira, MC Daniel, MC Ryan SP",Sertanejo / Funk
2023,Novembro,5,Luar,"MC Paiva, MC Ryan SP, Love Funk",Funk
2023,Novembro,6,Lapada Dela,"Grupo Menos é Mais, Matheus Fernandes",Pagode / Piseiro
2023,Novembro,7,Poesia Acústica 15,"Pineapple StormTv, Mc Cabelinho...",Rap Acústico
2023,Novembro,8,Tenho Que Me Decidir,"MC PH, Borges, WIU, Pedro Lotto...",Trap
2023,Novembro,9,Toca o Trompete,Felipe Amorim,Brega Funk
2023,Novembro,10,Halo,Veigh,Trap
2023,Dezembro,1,Let's Go 4,"MC PH, MC IG, MC Ryan SP, MC Kevin...",Funk
2023,Dezembro,2,DEJA VU,"Luan Santana, Ana Castela",Sertanejo
2023,Dezembro,3,Toca o Trompete,Felipe Amorim,Brega Funk
2023,Dezembro,4,Lapada Dela,"Grupo Menos é Mais, Matheus Fernandes",Pagode / Piseiro
2023,Dezembro,5,Canudinho,"Gusttavo Lima, Ana Castela",Sertanejo
2023,Dezembro,6,Tenho Que Me Decidir,"MC PH, Borges, WIU, Pedro Lotto...",Trap
2023,Dezembro,7,Dentro da Hilux,"Luan Pereira, MC Daniel, MC Ryan SP",Sertanejo / Funk
2023,Dezembro,8,Meio Termo,Luan Santana,Sertanejo
2023,Dezembro,9,Luar,"MC Paiva, MC Ryan SP, Love Funk",Funk
2023,Dezembro,10,Halo,Veigh,Trap
2022,Janeiro,1,Malvadão 3,"Xamã, Gustah, Neo Beats",Rap/Trap
2022,Janeiro,2,Bloqueado (Ao Vivo),Gusttavo Lima,Sertanejo
2022,Janeiro,3,Vai Lá Em Casa Hoje (Ao Vivo),"George Henrique & Rodrigo, Marília Mendonça",Sertanejo
2022,Janeiro,4,Arranhão (Ao Vivo),Henrique & Juliano,Sertanejo
2022,Janeiro,5,Esqueça-me Se For Capaz,"Marília Mendonça, Maiara & Maraisa",Sertanejo
2022,Janeiro,6,Toma Toma Vapo Vapo,"Zé Felipe, MC Danny",Forró/Funk
2022,Janeiro,7,Coração Cachorro,"Ávine Vinny, Matheus Fernandes",Forró/Piseiro
2022,Janeiro,8,Todo Mundo Menos Você,"Marília Mendonça, Maiara & Maraisa",Sertanejo
2022,Janeiro,9,Ameaça,"Paulo Pires, MC Danny, Marcynho Sensação",Forró/Funk
2022,Janeiro,10,Mal Feito (Ao Vivo),"Hugo & Guilherme, Marília Mendonça",Sertanejo
2022,Fevereiro,1,Bloqueado (Ao Vivo),Gusttavo Lima,Sertanejo
2022,Fevereiro,2,Malvada,Zé Felipe,Forró/Funk
2022,Fevereiro,3,Malvadão 3,"Xamã, Gustah, Neo Beats",Rap/Trap
2022,Fevereiro,4,Mal Feito (Ao Vivo),"Hugo & Guilherme, Marília Mendonça",Sertanejo
2022,Fevereiro,5,Arranhão (Ao Vivo),Henrique & Juliano,Sertanejo
2022,Fevereiro,6,Envolver,Anitta,Pop/Funk
2022,Fevereiro,7,Esqueça-me Se For Capaz,"Marília Mendonça, Maiara & Maraisa",Sertanejo
2022,Fevereiro,8,Dançarina,"Pedro Sampaio, MC Pedrinho",Funk
2022,Fevereiro,9,Toma Toma Vapo Vapo,"Zé Felipe, MC Danny",Forró/Funk
2022,Fevereiro,10,212,"Chefin, Mainstreet",Trap
2022,Março,1,Envolver,Anitta,Pop/Funk
2022,Março,2,Bloqueado (Ao Vivo),Gusttavo Lima,Sertanejo
2022,Março,3,Malvada,Zé Felipe,Forró/Funk
2022,Março,4,Dançarina,"Pedro Sampaio, MC Pedrinho",Funk
2022,Março,5,Mal Feito (Ao Vivo),"Hugo & Guilherme, Marília Mendonça",Sertanejo
2022,Março,6,Abalo Emocional (Ao Vivo),Luan Santana,Sertanejo
2022,Março,7,Vontade de Morder,"Simone & Simaria, Zé Felipe",Sertanejo/Forró
2022,Março,8,sentaDONA (Remix),"Luísa Sonza, Davi Kneip, Mc Frog, DJ Gabriel do Borel",Funk
2022,Março,9,212,"Chefin, Mainstreet",Trap
2022,Março,10,Arranhão (Ao Vivo),Henrique & Juliano,Sertanejo
2022,Abril,1,Envolver,Anitta,Pop/Funk
2022,Abril,2,Abalo Emocional (Ao Vivo),Luan Santana,Sertanejo
2022,Abril,3,Dançarina,"Pedro Sampaio, MC Pedrinho",Funk
2022,Abril,4,Malvada,Zé Felipe,Forró/Funk
2022,Abril,5,Mal Feito (Ao Vivo),"Hugo & Guilherme, Marília Mendonça",Sertanejo
2022,Abril,6,Termina Comigo Antes (Ao Vivo),Gusttavo Lima,Sertanejo
2022,Abril,7,sentaDONA (Remix),"Luísa Sonza, Davi Kneip, Mc Frog, DJ Gabriel do Borel",Funk
2022,Abril,8,ACORDA PEDRINHO,Jovem Dionisio,Indie/Pop
2022,Abril,9,Vontade de Morder,"Simone & Simaria, Zé Felipe",Sertanejo/Forró
2022,Abril,10,Vampiro,"Matuê, WIU, Teto",Trap
2022,Maio,1,Termina Comigo Antes (Ao Vivo),Gusttavo Lima,Sertanejo
2022,Maio,2,ACORDA PEDRINHO,Jovem Dionisio,Indie/Pop
2022,Maio,3,Dançarina,"Pedro Sampaio, MC Pedrinho",Funk
2022,Maio,4,Mal Feito (Ao Vivo),"Hugo & Guilherme, Marília Mendonça",Sertanejo
2022,Maio,5,Vampiro,"Matuê, WIU, Teto",Trap
2022,Maio,6,Balanço da Rede,"Matheus Fernandes, Xand Avião",Forró/Piseiro
2022,Maio,7,Abalo Emocional (Ao Vivo),Luan Santana,Sertanejo
2022,Maio,8,sentaDONA (Remix),"Luísa Sonza, Davi Kneip, Mc Frog, DJ Gabriel do Borel",Funk
2022,Maio,9,Pipoco,"Ana Castela, Melody, DJ Chris no Beat",Agronejo/Funk
2022,Maio,10,Vontade de Morder,"Simone & Simaria, Zé Felipe",Sertanejo/Forró
2022,Junho,1,ACORDA PEDRINHO,Jovem Dionisio,Indie/Pop
